Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Age,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Days_Customer,Total_AcceptedCmp,Total_SpentProducts
76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,75,0,0,0,1,0,0,1,0,0,0,4014,1,1782
33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,39,1,0,0,0,0,0,0,1,0,0,4159,0,133
37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,42,0,0,1,0,0,0,1,0,0,0,4246,0,316
2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,45,0,0,1,0,0,0,1,0,0,0,4095,0,1730
58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,75,0,0,0,0,1,0,1,0,0,0,4109,1,972
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,70,0,0,0,0,1,0,1,0,0,0,3725,0,544
40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,73,0,0,1,0,0,0,0,0,1,0,4024,0,444
18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,55,0,0,1,0,0,0,0,1,0,0,4099,0,75
53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,48,0,0,1,0,0,0,1,0,0,0,3954,0,257
52247.25135379061,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,38,0,0,1,0,0,0,0,1,0,0,4050,0,637
38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,35,0,0,1,0,0,0,1,0,0,0,3950,0,131
84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,59,0,0,0,0,1,0,1,0,0,0,3775,1,1672
10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,35,0,0,0,1,0,1,0,0,0,0,3594,0,30
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,61,0,0,0,1,0,0,0,0,1,0,3970,0,318
40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,54,0,0,1,0,0,0,0,0,1,0,4183,1,120
46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,72,0,0,0,0,1,1,0,0,0,0,4164,1,302
68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,78,0,0,0,1,0,0,1,0,0,0,4050,0,1196
49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,73,0,0,0,1,0,0,0,1,0,0,3860,0,65
67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,54,0,0,0,0,1,0,1,0,0,0,3736,0,913
23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,48,1,0,0,0,0,0,1,0,0,0,3856,0,81
42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,51,0,0,1,0,0,0,0,0,0,1,3694,0,67
48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,0,81,0,0,0,0,1,1,0,0,0,0,4069,2,902
80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,44,0,0,1,0,0,0,1,0,0,0,3982,0,1395
20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,39,0,0,0,1,0,0,1,0,0,0,4030,0,53
21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,67,0,0,1,0,0,0,0,0,1,0,4108,0,22
52247.25135379061,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,65,0,0,0,0,1,0,0,1,0,0,3792,0,186
7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,49,0,0,0,1,0,0,1,0,0,0,3826,0,31
79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,48,0,0,1,0,0,0,0,1,0,0,3557,0,984
7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,28,1,0,0,0,0,0,1,0,0,0,4153,1,122
41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,56,0,0,1,0,0,0,0,0,1,0,3957,0,55
52247.25135379061,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,73,0,0,1,0,0,0,0,1,0,0,3735,0,124
72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,70,0,0,0,0,1,0,1,0,0,0,4154,0,1319
65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,67,0,0,1,0,0,0,0,0,0,1,3604,0,507
79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,60,0,0,0,1,0,0,1,0,0,0,4243,0,1693
35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,47,0,0,1,0,0,0,0,1,0,0,4099,0,72
82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,0,47,0,0,1,0,0,1,0,0,0,0,3578,3,1617
66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,46,0,0,1,0,0,0,1,0,0,0,3938,0,606
82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,69,0,0,0,1,0,0,0,0,1,0,4143,2,1957
70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,58,0,0,1,0,0,1,0,0,0,0,4009,1,1093
27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,36,0,0,1,0,0,0,0,1,0,0,3618,0,29
52247.25135379061,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,42,0,0,1,0,0,0,0,1,0,0,3933,0,46
55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,56,0,0,0,0,1,0,1,0,0,0,3674,0,518
75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,42,0,0,0,1,0,0,0,1,0,0,3916,3,1438
66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,49,0,0,1,0,0,0,0,0,1,0,4216,0,612
61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,72,0,0,1,0,0,0,0,1,0,0,4052,0,884
67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,73,0,0,0,0,1,0,0,0,0,1,3939,0,606
70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,76,0,0,1,0,0,0,0,0,1,0,3761,0,1076
25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,53,0,0,1,0,0,0,1,0,0,0,3960,1,34
32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,57,0,0,1,0,0,0,0,0,1,0,3605,0,11
88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,0,45,1,0,0,0,0,0,0,1,0,0,3658,3,1274
69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,66,0,0,1,0,0,0,0,0,1,0,3831,0,653
74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,54,0,0,1,0,0,0,0,0,1,0,4003,0,1562
66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,70,0,0,0,1,0,0,1,0,0,0,4212,0,1253
52247.25135379061,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,51,1,0,0,0,0,0,1,0,0,0,4209,0,109
65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,65,0,0,1,0,0,0,1,0,0,0,4025,0,863
60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,49,0,0,0,0,1,0,1,0,0,0,4006,1,661
28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,72,0,0,1,0,0,0,1,0,0,0,3616,0,65
40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,47,0,0,1,0,0,1,0,0,0,0,4113,0,13
75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,52,0,0,0,1,0,0,1,0,0,0,4227,1,1890
75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,0,48,0,0,1,0,0,0,0,1,0,0,4181,2,2209
26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,1,48,1,0,0,0,0,0,0,0,1,0,3854,0,18
56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,0,59,0,0,1,0,0,0,0,0,1,0,4099,2,692
29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,39,0,0,1,0,0,0,0,1,0,0,4225,0,165
26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,55,0,0,1,0,0,0,1,0,0,0,3927,0,16
23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,51,1,0,0,0,0,0,1,0,0,0,3917,0,79
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,61,0,0,0,1,0,0,0,0,1,0,3970,0,318
81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,37,0,0,1,0,0,1,0,0,0,0,3680,0,778
29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,64,0,0,1,0,0,0,1,0,0,0,3878,0,56
36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,54,0,0,0,1,0,0,1,0,0,0,3904,1,151
50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,67,0,0,1,0,0,0,0,1,0,0,3588,3,372
79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,51,0,0,1,0,0,0,1,0,0,0,3604,1,1366
54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,57,0,0,1,0,0,0,0,0,1,0,3715,0,194
52247.25135379061,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,67,0,0,0,0,1,0,1,0,0,0,4143,0,603
52247.25135379061,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,67,0,0,1,0,0,0,0,1,0,0,3589,0,18
52247.25135379061,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,51,0,0,0,1,0,0,0,0,1,0,3774,0,985
42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,52,0,0,0,1,0,0,0,1,0,0,3654,0,32
23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,54,0,0,0,0,1,0,1,0,0,0,3592,0,43
30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,41,0,0,1,0,0,0,1,0,0,0,3594,0,45
47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,64,0,0,1,0,0,0,0,0,0,1,4140,1,606
51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,52,0,0,1,0,0,1,0,0,0,0,4000,0,63
78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,73,1,0,0,0,0,0,1,0,0,0,3766,1,978
50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,41,0,0,0,0,1,0,1,0,0,0,3930,0,410
47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,64,1,0,0,0,0,0,0,1,0,0,3897,0,72
34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,65,0,0,0,0,1,0,0,1,0,0,3647,0,55
85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,45,0,0,1,0,0,0,0,0,1,0,3991,0,1169
65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,79,0,0,0,0,1,0,1,0,0,0,3964,0,1120
87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,65,0,0,1,0,0,0,1,0,0,0,3608,1,1097
24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,45,0,1,0,0,0,0,0,0,1,0,3757,0,29
49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,60,0,0,1,0,0,0,1,0,0,0,3834,0,187
52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,55,0,0,1,0,0,0,1,0,0,0,4068,0,910
38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,46,0,0,1,0,0,0,0,1,0,0,4113,0,145
89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,64,0,0,0,1,0,0,1,0,0,0,4125,0,850
77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,45,0,0,1,0,0,0,0,0,1,0,3795,0,969
68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,33,0,0,0,0,1,0,0,1,0,0,4152,2,1820
57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,61,0,0,0,1,0,0,0,0,1,0,3560,1,608
86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,33,0,0,1,0,0,0,0,1,0,0,4099,3,730
43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,44,0,0,0,0,1,0,1,0,0,0,4120,0,551
50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,62,0,0,1,0,0,0,0,1,0,0,3848,0,114
90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,54,0,0,1,0,0,0,1,0,0,0,3712,2,1724
36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,46,1,0,0,0,0,0,1,0,0,0,4051,0,577
30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,57,1,0,0,0,0,0,0,0,1,0,3909,0,81
21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,55,0,0,1,0,0,0,0,0,1,0,3783,0,33
56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,71,0,0,0,1,0,0,0,0,1,0,3930,0,660
32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,57,0,0,0,1,0,0,0,1,0,0,3681,1,80
19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,39,0,0,0,1,0,0,1,0,0,0,3854,0,30
30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,48,0,0,1,0,0,1,0,0,0,0,3989,0,43
101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,41,0,0,1,0,0,0,0,1,0,0,4030,4,1135
71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,59,1,0,0,0,0,0,0,0,1,0,4052,0,559
79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,40,0,0,1,0,0,0,0,1,0,0,3990,1,1923
54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,71,0,0,0,1,0,0,1,0,0,0,3577,0,90
52247.25135379061,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,63,0,0,0,0,1,0,1,0,0,0,3909,0,404
77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,68,0,0,0,0,1,0,0,0,1,0,3606,0,661
62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,72,0,0,1,0,0,0,1,0,0,0,3828,0,463
61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,66,0,0,0,1,0,0,0,1,0,0,4032,0,632
73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,55,0,0,1,0,0,0,1,0,0,0,3695,0,725
52247.25135379061,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,61,0,0,1,0,0,0,1,0,0,0,3878,0,725
41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,60,0,0,0,0,1,0,1,0,0,0,3875,0,279
62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,57,0,0,0,0,1,0,0,0,1,0,4025,1,1482
9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,48,0,1,0,0,0,1,0,0,0,0,4246,0,29
33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,65,0,0,0,0,1,0,1,0,0,0,3913,0,106
35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,0,51,0,0,0,0,1,0,0,1,0,0,3597,2,49
36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,59,0,0,0,0,1,1,0,0,0,0,3892,0,38
92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,32,0,0,0,1,0,0,0,1,0,0,4174,0,2077
65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,48,0,0,0,1,0,0,0,0,1,0,3783,1,1053
86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,62,0,0,1,0,0,0,1,0,0,0,3992,0,1385
68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,50,0,0,0,0,1,0,0,1,0,0,3861,0,871
41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,36,0,0,1,0,0,0,0,0,1,0,4023,0,312
59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,48,0,0,1,0,0,0,1,0,0,0,4175,0,877
23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,49,0,0,1,0,0,0,1,0,0,0,4165,1,68
38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,1,43,0,0,1,0,0,0,0,0,1,0,3861,0,22
35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,51,1,0,0,0,0,0,1,0,0,0,4232,0,211
49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,58,0,0,0,1,0,0,1,0,0,0,3564,0,127
59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,71,0,0,0,1,0,0,1,0,0,0,3622,0,459
65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,55,0,0,1,0,0,0,1,0,0,0,3670,1,460
46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,52,1,0,0,0,0,0,0,0,1,0,4118,0,429
34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,36,0,0,1,0,0,0,0,1,0,0,3604,0,89
61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,72,0,0,0,0,1,0,0,0,1,0,4184,0,1021
69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,75,0,0,1,0,0,0,0,0,1,0,4051,3,1381
49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,66,0,0,1,0,0,0,0,1,0,0,3912,0,306
60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,46,0,0,1,0,0,0,0,1,0,0,3846,0,18
55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,47,0,0,1,0,0,0,0,0,1,0,3811,0,162
80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,69,0,0,1,0,0,0,0,1,0,0,3869,0,1231
30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,66,0,0,0,1,0,0,0,1,0,0,3919,0,13
70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,79,0,0,0,0,1,0,1,0,0,0,4157,0,1706
23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,40,0,0,1,0,0,0,1,0,0,0,3731,0,121
74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,49,0,0,0,0,1,1,0,0,0,0,3980,0,1293
157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,51,0,0,0,0,1,0,1,0,0,0,3676,0,1608
43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,58,0,0,1,0,0,0,0,0,1,0,3784,0,88
62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,0,71,0,0,1,0,0,1,0,0,0,0,3779,1,421
52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,65,0,0,1,0,0,1,0,0,0,0,3861,1,259
66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,36,0,0,1,0,0,0,0,1,0,0,3795,0,1117
26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,67,0,0,1,0,0,0,0,0,1,0,3680,0,89
33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,59,0,0,1,0,0,0,0,0,1,0,3625,0,36
28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,42,0,0,1,0,0,0,1,0,0,0,3907,0,57
50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,54,0,0,1,0,0,0,1,0,0,0,3625,0,148
53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,65,0,0,0,0,1,0,0,0,1,0,3706,0,93
52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,0,57,0,0,1,0,0,0,0,1,0,0,3642,1,119
80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,49,0,0,0,0,1,0,1,0,0,0,4211,0,1835
83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,76,0,0,0,0,1,0,1,0,0,0,4116,3,1318
38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,54,0,0,0,0,1,0,1,0,0,0,3593,0,45
38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,65,0,0,1,0,0,0,0,0,1,0,3561,0,10
78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,73,1,0,0,0,0,0,1,0,0,0,3766,1,978
51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,48,0,0,0,0,1,0,1,0,0,0,3605,0,191
16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,36,1,0,0,0,0,0,1,0,0,0,3606,0,57
66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,78,0,0,0,1,0,0,1,0,0,0,3830,0,1033
30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,40,0,0,0,1,0,0,1,0,0,0,3714,0,66
28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,63,0,1,0,0,0,0,1,0,0,0,3570,0,43
25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,41,0,0,1,0,0,0,1,0,0,0,4127,0,50
32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,54,0,0,0,0,1,0,0,1,0,0,3669,0,39
61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,58,0,0,1,0,0,0,1,0,0,0,3887,0,608
74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,48,0,0,1,0,0,0,1,0,0,0,4023,0,1581
45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,60,0,0,0,0,1,0,1,0,0,0,4047,0,68
24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,0,46,0,1,0,0,0,0,0,0,1,0,4214,1,80
66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,35,0,0,0,0,1,0,0,0,1,0,3964,0,1282
36640.0,1,0,99,15,6,8,7,4,25,1,2,1,2,5,1,124,1,0,0,0,0,1,0,0,0,0,3832,0,65
38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,36,0,0,1,0,0,0,1,0,0,0,3951,0,91
51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,51,0,0,1,0,0,0,1,0,0,0,4052,0,315
31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,47,0,0,1,0,0,0,1,0,0,0,3738,0,31
69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,44,0,0,0,1,0,0,1,0,0,0,3603,0,834
80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,70,0,0,1,0,0,0,1,0,0,0,3839,1,1600
86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,70,0,0,1,0,0,0,1,0,0,0,4084,0,1270
46854.0,1,1,81,96,1,79,7,1,79,6,5,1,3,8,0,51,0,0,0,0,1,0,0,1,0,0,3646,2,263
69142.0,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,72,0,0,1,0,0,1,0,0,0,0,3556,1,535
75922.0,0,0,60,265,138,553,224,23,92,1,4,4,9,1,0,56,0,0,1,0,0,0,0,1,0,0,3758,0,1295
63693.0,0,1,63,587,43,337,42,87,54,3,11,6,9,6,0,46,0,0,1,0,0,1,0,0,0,0,3814,0,1150
102160.0,0,0,54,763,29,138,76,176,58,0,7,9,10,4,0,47,0,0,0,0,1,0,0,0,1,0,4160,4,1240
40637.0,1,1,72,22,0,13,0,0,3,2,1,0,3,7,0,59,0,0,0,0,1,0,0,1,0,0,3903,0,38
18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,0,40,0,0,0,1,0,0,0,1,0,0,4152,2,35
29604.0,1,0,88,7,6,13,7,6,14,1,1,0,3,9,0,36,0,0,1,0,0,0,0,0,1,0,3759,1,53
48721.0,1,1,50,81,18,113,47,13,21,6,4,2,5,6,0,61,0,0,0,1,0,1,0,0,0,0,3968,0,293
44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,58,0,0,1,0,0,0,1,0,0,0,3577,0,65
